"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.mmhc.","X922","X.mi.","X0.1","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"mmhc",922,"mi",0.1,"bde"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"mmhc",922,"mi",0.1,"bde"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"mmhc",922,"mi",0.1,"bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mmhc",922,"mi",0.1,"bde"
